,year,title
4884,2019,Environmental Engineering Science
4885,2019,Natural hazards and earth system sciences
4889,2019,Bulletin of the Ecological Society of America
4896,2018,Public Health Nutrition
4898,2018,DigitalCommons - WayneState (Wayne State University)
4904,2022,Frontiers in Bioengineering and Biotechnology
4916,2022,Journal of Hydrology
4918,2018,Rangeland Ecology & Management
4919,2024,Data in Brief
4923,2017,Nutrition and Health
4929,2019,Human Dimensions of Wildlife
4939,2019,OpenCommons - UConn (University of Connecticut)
4942,2019,Smith ScholarWorks (Smith College)
4944,2019,Forest Ecology and Management
4948,2018,Crop Protection
4952,2020,Ecosystem Services
4954,2020,NOAA Institutional Repository
4955,2018,Modern American History
4956,2018,MPG.PuRe (Max Planck Society)
4957,2019,China Journal of Social Work
4965,2022,Harvard Data Science Review
4970,2017,Disaster Medicine and Public Health Preparedness
4972,2019,Journal of Wildlife Management
4980,2017,Public Choice
4981,2017,White Rose Research Online (University of Leeds)
4982,2017,Hispanic Health Care International
4985,2017,Munich Personal RePEc Archive (Ludwig Maximilian University of Munich)
4986,2021,Community Mental Health Journal
4991,2018,Housing Policy Debate
4992,2022,International Journal of Hygiene and Environmental Health
4993,2022,"White Rose Research Online (University of Leeds, The University of Sheffield, University of York)"
4996,2021,Insights into Regional Development
5005,2018,Environment and Planning A Economy and Space
5022,2018,Geoforum
5023,2018,North Carolina Medical Journal
5025,2018,Journal of Aging and Health
5027,2021,Animals
5031,2019,Preventive Medicine Reports
5038,2022,BMC Public Health
5041,2020,Frontiers in Genetics
5046,2019,Fisheries
5048,2018,Preventive Medicine Reports
5052,2017,Journal of Business Research
5053,2017,Housing Studies
5054,2019,Population Research and Policy Review
5056,2021,Journal of Financial Intermediation
5057,2021,Zurich Open Repository and Archive (University of Zurich)
5058,2021,Lirias (KU Leuven)
5059,2019,European Journal of Forest Research
5064,2019,University Libraries (University of Maryland)
5067,2019,Coastal Management
5068,2019,ODU Digital Commons (Old Dominion University)
5071,2018,Water International
5072,2018,CONICET Digital (CONICET)
5074,2019,FACETS
5079,2018,Coastal Management
5080,2022,Cleaner Environmental Systems
5082,2022,Research Repository (Delft University of Technology)
5083,2022,Research Portal (Queen's University Belfast)
5084,2022,Qatar University QSpace (Qatar University)
5085,2021,International Tax and Public Finance
5092,2017,Journal of Environmental Assessment Policy and Management
5093,2018,Oxford Development Studies
5097,2017,The Journal of Higher Education
5099,2018,Qualitative Health Research
5102,2017,Criminal Justice Review
5107,2019,Environmental DNA
5108,2017,Geoforum
5109,2019,Journal of Social Service Research
5111,2017,Review of Policy Research
5117,2021,The changing academy
5119,2021,LaCRIS (University of Lapland)
5120,2017,Dental Clinics of North America
5129,2023,Agronomy for Sustainable Development
5130,2023,HAL (Le Centre pour la Communication Scientifique Directe)
5140,2024,Canadian Journal of Agricultural Economics/Revue canadienne d agroeconomie
5141,2017,Journal of the Economic and Social History of the Orient
5142,2021,Oxford Research Encyclopedia of Economics and Finance
5149,2022,Journal of Nutrition Education and Behavior
5152,2021,Journal of Food Science
5155,2024,American Journal of Preventive Medicine
5160,2019,Journal of Labor Economics
5163,2017,Leisure Sciences
5164,2018,Men and Masculinities
5165,2017,Global Qualitative Nursing Research
5171,2019,Ground Water
5180,2021,PDXScholar  (Portland State University)
5182,2019,Health Communication
5184,2017,Frontiers in Genetics
5189,2018,Practical Radiation Oncology
5192,2018,Australian Journal of Agricultural and Resource Economics
5203,2018,Journal of Family and Economic Issues
5204,2022,Journal of Agricultural Education
5205,2017,International Migration Review
5208,2019,Occupational and Environmental Medicine
5210,2017,Public Library Quarterly
5212,2021,Journal of Environmental Studies and Sciences
5213,2021,IUScholarWorks (Indiana University)
5219,2017,Journal of Geovisualization and Spatial Analysis
5223,2017,Tropical Medicine and Infectious Disease
5226,2017,Edinburgh Research Explorer (University of Edinburgh)
5230,2017,Journal of Agricultural Extension and Rural Development
5236,2017,Palgrave Communications
5237,2017,Northumbria Research Link (Northumbria University)
5238,2019,Social Sciences
5241,2017,Arctic Science
5242,2017,TSpace (University of Toronto)
5243,2017,Scopus (Elsevier)
5244,2019,Wildlife Society Bulletin
5246,2021,Natural Hazards
5249,2018,Journal on Migration and Human Security
5253,2022,Social Indicators Research
5262,2022,Journal of neurosurgery
5264,2017,American Journal of Health Promotion
5267,2019,Journal of Geoscience and Environment Protection
5268,2021,AMBIO
5269,2021,LSU Digital Commons (Louisiana State University)
5272,2018,Energies
5274,2018,MDPI (MDPI AG)
5275,2023,Circulation
5277,2017,Water International
5292,2018,Journal of Institutional Economics
5296,2018,SSRN Electronic Journal
5301,2017,Soil Science Society of America Journal
5302,2019,Geo-spatial Information Science
5303,2018,Social Sciences
5315,2020,Emerging Themes in Epidemiology
5318,2023,Journal of the Academy of Nutrition and Dietetics
5322,2021,Journal of Postsecondary Student Success
5323,2022,Environmental Pollution
5324,2022,University of North Texas Digital Library (University of North Texas)
5328,2018,Journal of Nutritional Science
5335,2017,Research in Transportation Economics
5336,2019,Housing Policy Debate
5338,2022,Quantitative Science Studies
5342,2017,Annals of the Institute of Statistical Mathematics
5343,2019,International Journal of Environmental Science and Technology
5344,2019,American Journal of Climate Change
5346,2018,Journal of Public Affairs
5347,2019,Journal of Aquatic Animal Health
5349,2022,UCL Discovery (University College London)
5350,2022,"Library Union Catalog of Bavaria, Berlin and Brandenburg (B3Kat Repository)"
5351,2023,Bone and Joint Research
5352,2023,University of Regensburg Publication Server (University of Regensburg)
5355,2017,American Journal of Human Biology
5357,2017,Metropolitan Universities
5358,2024,Journal of Economic Entomology
5361,2019,MDPI eBooks
5362,2019,Directory of Open access Books (OAPEN Foundation)
5364,2019,BiblioBoard Library Catalog (Open Research Library)
5369,2021,Mountain Research and Development
5371,2021,BORIS (University Library Bern)
5373,2021,CentAUR (University of Reading)
5374,2021,Portsmouth Research Portal (University of Portsmouth)
5375,2018,Wetlands
5382,2022,LSHTM Research Online (London School of Hygiene and Tropical Medicine)
5384,2019,Ophthalmology and Therapy
5389,2018,Marine Biology
5390,2020,Marine Policy
5392,2020,OPUS - Open Publications of UTS Scholars (University of Technology Sydney)
5393,2021,Current Developments in Nutrition
5397,2017,Journal of Homeland Security and Emergency Management
5398,2017,Journal of Family and Economic Issues
5400,2020,Palgrave studies in agricultural economics and food policy
5401,2019,EarthArXiv (California Digital Library)
5403,2019,Policy Politics & Nursing Practice
5405,2018,Plant Methods
5414,2022,JAMA Network Open
5424,2021,Frontiers in Big Data
5426,2021,PUBLISSO (German National Library of Medicine)
5430,2022,Applied Energy
5439,2022,Proceedings of the Royal Society B Biological Sciences
5440,2022,HAL (Le Centre pour la Communication Scientifique Directe)
5451,2018,LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas)
5453,2017,Development Policy Review
5454,2019,Sociology of Race and Ethnicity
5460,2018,Ocean & Coastal Management
5470,2017,Journal of Ichthyology
5471,2018,Cities & Health
5472,2017,International Forum of Allergy & Rhinology
5475,2018,Review of Behavioral Economics
5476,2019,Cogent Economics & Finance
5478,2020,Health Promotion Perspectives
5482,2019,SAGE Open
5487,2017,Industrial Relations A Journal of Economy and Society
5488,2022,ClinicoEconomics and Outcomes Research
5498,2018,Economics of Transition
5499,2023,Public Health Nutrition
5502,2020,Journal of Ecology
5503,2023,Logistics
5505,2021,European Journal of Development Research
5509,2017,Housing Policy Debate
5512,2018,Socius Sociological Research for a Dynamic World
5515,2020,UKnowledge (University of Kentucky)
5516,2018,Family and Consumer Sciences Research Journal
5520,2021,Frontiers in Digital Health
5531,2023,American Economic Journal Applied Economics
5540,2017,Peabody Journal of Education
5541,2021,State Politics & Policy Quarterly
5542,2024,Gynecologic Oncology Reports
5549,2019,Journal of Child & Adolescent Trauma
5560,2023,BMC Medicine
5567,2017,Pneuma
5570,2017,Federal Reserve Bank of Richmond Working Papers
5571,2017,CiteSeer X (The Pennsylvania State University)
5572,2024,Journal of Cystic Fibrosis
5575,2020,Critical Reviews in Environmental Science and Technology
5577,2018,Journal of Extension
5578,2021,Nutrients
5587,2022,Journal of the National Comprehensive Cancer Network
5589,2019,Global Qualitative Nursing Research
5594,2018,Rangelands
5595,2017,Turkish Journal of Agriculture - Food Science and Technology
5597,2017,Geospatial health
5602,2018,Own your potential (DEAKIN)
5608,2021,medRxiv (Cold Spring Harbor Laboratory)
5609,2020,Journal of Cave and Karst Studies
5613,2018,Food Research International
5615,2021,Journal of Occupational and Environmental Medicine
5617,2022,SpringerBriefs in population studies
5618,2022,OAPEN (The OAPEN Foundation)
5620,2018,Journal of Correctional Health Care
5625,2019,Ecology and Society
5628,2019,BORIS (University Library Bern)
5629,2018,FEDS Notes
5630,2023,Authorea (Authorea)
5631,2022,Journal of Agricultural Economics
5632,2019,Journal of Neuro-Oncology
5634,2023,Innovation in Aging
5636,2022,Journal of the Academy of Marketing Science
5639,2018,Urban Ecosystems
5640,2020,Journal of Extension
5641,2023,Diversity and Distributions
5642,2023,SERVAL (Université de Lausanne)
5643,2018,Environmental Science and Pollution Research
5646,2018,PeerJ
5649,2018,The Research Repository @ WVU (West Virginia University)
5651,2024,Journal of Clinical Oncology
5652,2021,Children
5657,2017,Public Health Nutrition
5658,2017,Arrow - TU Dublin (Technological University Dublin)
5661,2019,Political Behavior
5662,2020,Indian Economic Review
5674,2019,International Journal for Equity in Health
5678,2020,Politics & Society
5679,2020,DSpace@MIT (Massachusetts Institute of Technology)
5680,2018,International Journal of Behavioral Nutrition and Physical Activity
5686,2019,Handbooks of sociology and social research
5687,2022,Journal of Shelter Medicine and Community Animal Health
5688,2018,Regional Science and Urban Economics
5689,2018,The World Bank Open Knowledge Repository (World Bank)
5691,2018,American Journal of Clinical Oncology
5693,2022,International Journal of Health Geographics
5697,2018,Sexually Transmitted Diseases
5704,2018,International Journal of Wildland Fire
5709,2022,UpSpace Institutional Repository (University of Pretoria)
5712,2019,Biocontrol Science and Technology
5714,2022,Frontiers in Marine Science
5716,2019,American Journal of Industrial Medicine
5724,2019,ScholarWorks@BGSU (Bowling Green State University)
5728,2018,Forest Ecology and Management
5729,2017,International Journal of Sustainability in Higher Education
5730,2018,International Journal of Industrial Organization
5731,2019,Conservation Genetics
5734,2017,Rural Special Education Quarterly
5737,2018,Canadian Geographies / Géographies canadiennes
5738,2019,Journal of Medical Entomology
5740,2019,Evaluation and Program Planning
5742,2017,Journal of Economic Behavior & Organization
5744,2017,Lancaster EPrints (Lancaster University)
5745,2021,Journal of Natural Remedies
5747,2017,The FASEB Journal
5748,2018,Journal of Housing for the Elderly
5749,2017,Medical Hypotheses
5752,2020,"World Bank, Washington, DC eBooks"
5753,2020,"Library Union Catalog of Bavaria, Berlin and Brandenburg (B3Kat Repository)"
5754,2023,Econstor (Econstor)
5756,2017,Journal of Agricultural Science and Technology A
5757,2017,Progress in Physical Geography Earth and Environment
5761,2017,Clean Technologies and Environmental Policy
5762,2018,Island Studies Journal
5763,2018,Journal of Developmental & Behavioral Pediatrics
5766,2018,Journal of Applied Meteorology and Climatology
5767,2018,Journal of Human Sciences and Extension
5769,2022,Ecological Economics
5770,2022,Strathprints: The University of Strathclyde institutional repository (University of Strathclyde)
5776,2022,Journal of Nutritional Science
5777,2022,GoeScholar  The Publication Server of the Georg-August-Universität Göttingen (Georg-August-Universität Göttingen)
5780,2018,The Journal of School Nursing
5783,2020,Wellcome Open Research
5790,2021,Environmental and Energy Policy and the Economy
5801,2018,Southern Economic Journal
5802,2018,Munich Personal RePEc Archive (Ludwig Maximilian University of Munich)
5803,2019,Scandinavian Journal of Forest Research
